COUNTRY,ISO3,REGION,Organization,Prevent20 Status (Members = #fc0d1b; Friends = #fd9426),"Prevent20 Status (0 - none, 1 - Friend, 2 - Member)"
Djibouti,DJI,EMRO,,,0
Dominica,DMA,PAHO,,,0
Dominican Rep.,DOM,PAHO,,,0
DPR Korea,PRK,SEARO,,,0
Ecuador,ECU,PAHO,,,0
Egypt,EGY,EMRO,,,0
El Salvador,SLV,PAHO,,,0
Equatorial Guinea,GNQ,AFRO,,,0
Eritrea,ERI,AFRO,,,0
Estonia,EST,EURO,,,0
Ethiopia,ETH,AFRO,,,0
Fed. States of Micronesia,FSM,WPRO,,,0
Fiji,FJI,WPRO,,,0
Finland,FIN,EURO,,,0
France,FRA,EURO,,,0
FYR Macedonia,MKD,EURO,,,0
Gabon,GAB,AFRO,Mouvement pour la Santé (MPS) Gabon,Friend,1
Gambia,GMB,AFRO,,,0
Georgia,GEO,EURO,,,0
Germany,DEU,EURO,,,0
Ghana,GHA,AFRO,,,0
Greece,GRC,EURO,,,0
Grenada,GRD,PAHO,,,0
Guatemala,GTM,PAHO,,,0
Guinea,GIN,AFRO,,,0
Guinea-Bissau,GNB,AFRO,,,0
Guyana,GUY,PAHO,,,0
Haiti,HTI,PAHO,,,0
Honduras,HND,PAHO,,,0
Hong Kong,HKG,,,,0
Hungary,HUN,EURO,,,0
Iceland,ISL,EURO,,,0
India,IND,SEARO,Indian Cancer Society- Mumbai,Member,2
Indonesia,IDN,SEARO,,,0
Iraq,IRQ,EMRO,,,0
Ireland,IRL,EURO,Irish Cancer Society,Member,2
Isl. Rep. of Iran,IRN,EMRO,,,0
Israel,ISR,EURO,Israel Cancer Association,Member,2
Italy,ITA,EURO,,,0
Jamaica,JAM,PAHO,Heart Foundation of Jamaica,Friend,1
Japan,JPN,WPRO,Japan Cancer Society,Member,2
Jordan,JOR,EMRO,,,0
Kazakhstan,KAZ,EURO,,,0
Kenya,KEN,AFRO,Kenyan Network of Cancer Organizations (KENCO),Member,2
Kenya,KEN,AFRO,Kenya Cancer Association (KENCANSA),Member,2
Kiribati,KIR,WPRO,,,0
Kuwait,KWT,EMRO,,,0
Kyrgyzstan,KGZ,EURO,,,0
LAO PDR,LAO,WPRO,,,0
Latvia,LVA,EURO,,,0
Lebanon,LBN,EMRO,,,0
Lesotho,LSO,AFRO,,,0
Liberia,LBR,AFRO,,,0
Libyan Arab Jamahiriya,LBY,EMRO,,,0
Lichtenstein,LIE,,,,0
Lithuania,LTU,EURO,National Tobacco and Alcohol Control Coalition ,Friend,1
Lux. ,LUX,EURO,,,0
Madagascar,MDG,AFRO,,,0
Malawi,MWI,AFRO,Hope for Cancer Foundation,Member,2
Malawi,MWI,AFRO,Palliative Care Association of Malawi,Member,2
Malawi,MWI,AFRO,Drug Fight Malawi,Friend,1
Malaysia,MYS,WPRO,National Cancer Society of Malaysia,Member,2
Maldives,MDV,SEARO,,,0
Mali,MLI,AFRO,,,0
Malta,MLT,EURO,,,0
Marshall Islands,MHL,WPRO,,,0
Mauritania,MRT,AFRO,,,0
Mauritius,MUS,AFRO,,,0
Mexico,MEX,PAHO,,,0
Monaco,MCO,EURO,,,0
Mongolia,MNG,WPRO,National Cancer Council of Mongolia,Member,2
Montenegro,MNE,EURO,,,0
Morocco,MAR,EMRO,,,0
Mozambique,MOZ,AFRO,,,0
Myanmar,MMR,SEARO,,,0
Namibia,NAM,AFRO,Cancer Association of Namibia ,Member,2
Nauru,NRU,WPRO,,,0
Nepal,NPL,SEARO,Nepal Cancer Relief Society,Member,2
Netherlands,NLD,EURO,Dutch Cancer Society,Member,2
New Zealand,NZL,WPRO,Cancer Society of New Zealand,Member,2
Nicaragua,NIC,PAHO,,,0
Niger,NER,AFRO,SOS Tabagisme,Friend,1
Nigeria,NGA,AFRO,Nigerian Heart Foundation,Friend,1
Niue,NIU,WPRO,,,0
Norway,NOR,EURO,Norwegian Cancer Society,Member,2
Oman,OMN,EMRO,,,0
Pakistan,PAK,EMRO,,,0
Palau,PLW,WPRO,,,0
Panama,PAN,PAHO,,,0
Papua New Guinea,PNG,WPRO,,,0
Paraguay,PRY,PAHO,,,0
Peru,PER,PAHO,,,0
Philippines,PHL,WPRO,,,0
Poland,POL,EURO,Maria Sklowdowska-Curie Memorial Center and Institute of Oncology,Member,2
Portugal,PRT,EURO,,,0
Qatar,QAT,EMRO,,,0
Rep. Korea,KOR,WPRO,,,0
Rep. Moldova,MDA,EURO,,,0
Romania,ROU,EURO,,,0
Russian Federation,RUS,EURO,,,0
Rwanda,RWA,AFRO,,,0
S. Africa,ZAF,AFRO,Cancer Association of South Africa (CANSA),Member,2
S. Africa,ZAF,AFRO,National Council Against Smoking,Friend,1
S. Sudan,SSD,EMRO,,,0
Samoa,WSM,WPRO,Samoa Cancer Society,Member,2
San Marino,SMR,EURO,,,0
Sao Tome and Principe,STP,AFRO,,,0
Saudi Arabia,SAU,EMRO,,,0
Senegal,SEN,AFRO,IDEES Senegal,Friend,1
Serbia ,SRB,EURO,,,0
Seychelles,SYC,AFRO,,,0
Sierra Leone,SLE,AFRO,Think Pink Breast Cancer Foundation,Member,2
Sierra Leone,SLE,AFRO,Sierra Leone Alliance Against Hunger and Malnutrition,Friend,1
Singapore,SGP,WPRO,,,0
Slovakia,SVK,EURO,,,0
Slovenia,SVN,EURO,,,0
Solomon Islands,SLB,WPRO,,,0
Somalia,SOM,EMRO,,,0
Spain,ESP,EURO,,,0
Sri Lanka,LKA,SEARO,,,0
St. Kitts and Nevis,KNA,PAHO,,,0
St. Lucia,LCA,PAHO,,,0
St. Vincent and the Grenadines,VCT,PAHO,,,0
Sudan,SDN,EMRO,,,0
Suriname,SUR,PAHO,,,0
Swaziland,SWZ,AFRO,,,0
Sweden,SWE,EURO,,,0
Switz.,CHE,EURO,,,0
Syrian Arab Rep. ,SYR,EMRO,,,0
Tajikistan,TJK,EURO,,,0
Thailand,THA,SEARO,,,0
Timor-Leste,TLS,SEARO,,,0
Togo,TGO,AFRO,,,0
Tonga,TON,WPRO,,,0
Trinidad and Tobago,TTO,PAHO,The Trinidad and Tobago Cancer Society,Member,2
Tunisia,TUN,EMRO,,,0
Turkey,TUR,EURO,,,0
Turkmenistan,TKM,EURO,,,0
Tuvalu,TUV,WPRO,,,0
UAE,ARE,EMRO,Friends of Cancer Patients,Member,2
Uganda,UGA,AFRO,Uganda Cancer Society,Member,2
Ukraine,UKR,EURO,Advocacy Center LIFE,Friend,1
United Kingdom,GBR,EURO,Cancer Research UK,Member,2
United Kingdom,GBR,EURO,European Association for Cancer Research,Friend,1
United Republic of Tanzania,TZA,AFRO,Tanzanian Cancer Society,Member,2
United States of America,USA,PAHO,American Cancer Society,Member,2
United States of America,USA,PAHO,Vital Strategies,Friend,1
United States of America,USA,PAHO,Interamerican Heart Foundation,Friend,1
Uruguay,URY,PAHO,Fundación Peluffo Giguens,Member,2
Uzbekistan,UZB,EURO,,,0
Vanuatu,VUT,WPRO,,,0
Venezuela ,VEN,PAHO,,,0
Viet Nam,VNM,WPRO,,,0
West Bank/Gaza Strip,PSE,,,,0
Yemen,YEM,EMRO,,,0
Zambia,ZMB,AFRO,Zambian Cancer Society,Member,2
Zimbabwe,ZWE,AFRO,The Cancer Association of Zimbabwe,Member,2
