year,price (index),tax (index),prevalence
2015,1,0.394925101409039,0.206945002932231
2016,1.22450338250339,0.531173897675624,0.200773730265462
2017,1.45960396713022,0.676946182474472,0.194803518010944
2018,1.70950592649636,0.832824421540812,0.189027250899722
2019,1.98092850990216,1.00236076526414,0.183438087278662
2020,2.28134594018656,1.19479615590911,0.178029447610503
2021,2.55291138768885,1.3704227382709,0.172795003506277
2022,2.84348920318847,1.55820006410645,0.167728667262867
2023,3.15541369676155,1.75969353794702,0.162824581879957
2024,3.49128324881457,1.97662950326981,0.158077111532076
2025,3.8540300426951,2.21094394881836,0.153480832472839
